ID;concept:name;time:timestamp;case:concept:name;pName;error_case;error_reason
36;review application;2021-11-03 04:18:51 +00:00;Trace 5;Peter;x;1
37;schedule interview and send invitation;2021-11-03 06:06:05 +00:00;Trace 5;Peter;x;1
38;await answer;2021-11-03 07:52:41 +00:00;Trace 5;Peter;x;1, 5
39;hold intervierw;2021-11-03 09:05:13 +00:00;Trace 5;Peter;x;1
40;"reject application/
ask for permission to save data";2021-11-03 10:27:01 +00:00;Trace 5;Peter;x;1
41;await answer;2021-11-03 12:01:24 +00:00;Trace 5;Peter;x;1, 5
42;receive permission;2021-11-03 13:55:15 +00:00;Trace 5;Peter;x;1
43;save data;2021-11-03 15:45:51 +00:00;Trace 5;Peter;x;1
44;receive application;2021-11-02 23:54:28 +00:00;Trace 6;Peter;x;1
45;declined GDPR;2021-11-03 01:03:16 +00:00;Trace 6;Peter;x;1, 5
46;notify recruiter;2021-11-03 02:10:59 +00:00;Trace 6;Peter;x;1
47;review application;2021-11-03 03:25:43 +00:00;Trace 6;Peter;x;1
48;delete data of applicant;2021-11-03 05:20:10 +00:00;Trace 6;Peter;x;1
49;receive application;2021-11-03 00:08:27 +00:00;Trace 7;Hans;x;1
50;declined GDPR;2021-11-03 01:51:18 +00:00;Trace 7;Hans;x;1, 5
51;notify recruiter;2021-11-03 03:11:32 +00:00;Trace 7;Hans;x;1
52;review application;2021-11-03 04:35:45 +00:00;Trace 7;Hans;x;1
53;delete data of applicant;2021-11-03 06:14:38 +00:00;Trace 7;Hans;x;1
54;receive application;2021-11-03 00:11:38 +00:00;Trace 8;Hans;x;1
55;declined GDPR;2021-11-03 01:28:47 +00:00;Trace 8;Hans;x;1, 5
56;notify recruiter;2021-11-03 03:14:02 +00:00;Trace 8;Hans;x;1
57;review application;2021-11-03 05:02:20 +00:00;Trace 8;Hans;x;1
58;schedule interview and send invitation;2021-11-03 06:57:19 +00:00;Trace 8;Hans;x;1
59;await answer;2021-11-03 08:02:13 +00:00;Trace 8;Hans;x;1, 5
60;hold intervierw;2021-11-03 09:36:18 +00:00;Trace 8;Hans;x;1
61;send to assessment center;2021-11-03 11:23:01 +00:00;Trace 8;Hans;x;1
62;create and send offer;2021-11-03 13:22:08 +00:00;Trace 8;Hans;x;1
63;wait for answer to offer;2021-11-03 15:11:36 +00:00;Trace 8;Hans;x;1
64;receive application;2021-11-03 00:03:35 +00:00;Trace 9;Julian;x;1
65;declined GDPR;2021-11-03 01:21:36 +00:00;Trace 9;Julian;x;1, 5
66;notify recruiter;2021-11-03 02:40:08 +00:00;Trace 9;Julian;x;1
67;review application;2021-11-03 04:09:08 +00:00;Trace 9;Julian;x;1
68;delete data of applicant;2021-11-03 06:00:21 +00:00;Trace 9;Julian;x;1
69;receive application;2021-11-03 00:20:51 +00:00;Trace 10;Peter;x;1
70;declined GDPR;2021-11-03 01:25:12 +00:00;Trace 10;Peter;x;1, 5
71;notify recruiter;2021-11-03 03:22:19 +00:00;Trace 10;Peter;x;1
72;review application;2021-11-03 05:20:13 +00:00;Trace 10;Peter;x;1
73;delete data of applicant;2021-11-03 06:46:56 +00:00;Trace 10;Peter;x;1
74;receive application;2021-11-03 00:30:36 +00:00;Trace 11;Julian;x;1
75;declined GDPR;2021-11-03 02:05:09 +00:00;Trace 11;Julian;x;1, 5
76;notify recruiter;2021-11-03 03:09:17 +00:00;Trace 11;Julian;x;1
77;review application;2021-11-03 04:52:17 +00:00;Trace 11;Julian;x;1
78;delete data of applicant;2021-11-03 06:26:46 +00:00;Trace 11;Julian;x;1
79;receive application;2021-11-02 23:39:36 +00:00;Trace 12;Peter;x;1
80;declined GDPR;2021-11-03 00:53:06 +00:00;Trace 12;Peter;x;1, 5
81;notify recruiter;2021-11-03 02:13:08 +00:00;Trace 12;Peter;x;1
82;review application;2021-11-03 03:15:27 +00:00;Trace 12;Peter;x;1
83;schedule interview and send invitation;2021-11-03 04:20:20 +00:00;Trace 12;Peter;x;1
84;await answer;2021-11-03 05:39:13 +00:00;Trace 12;Peter;x;1, 5
85;hold intervierw;2021-11-03 06:56:50 +00:00;Trace 12;Peter;x;1
86;"reject application/
ask for permission to save data";2021-11-03 08:40:50 +00:00;Trace 12;Peter;x;1
87;await answer;2021-11-03 10:40:02 +00:00;Trace 12;Peter;x;1, 5
88;decline permission;2021-11-03 12:19:22 +00:00;Trace 12;Peter;x;1
89;delete data;2021-11-03 13:59:37 +00:00;Trace 12;Peter;x;1
90;receive application;2021-11-03 00:27:50 +00:00;Trace 13;Peter;x;1
91;declined GDPR;2021-11-03 02:05:11 +00:00;Trace 13;Peter;x;1, 5
92;notify recruiter;2021-11-03 03:44:00 +00:00;Trace 13;Peter;x;1
93;review application;2021-11-03 05:10:34 +00:00;Trace 13;Peter;x;1
94;delete data of applicant;2021-11-03 07:04:26 +00:00;Trace 13;Peter;x;1
95;receive application;2021-11-02 23:55:30 +00:00;Trace 14;Julian;x;1
96;declined GDPR;2021-11-03 01:31:21 +00:00;Trace 14;Julian;x;1, 5
97;notify recruiter;2021-11-03 03:11:36 +00:00;Trace 14;Julian;x;1
98;review application;2021-11-03 04:33:59 +00:00;Trace 14;Julian;x;1
99;schedule interview and send invitation;2021-11-03 05:37:11 +00:00;Trace 14;Julian;x;1
100;await answer;2021-11-03 07:35:55 +00:00;Trace 14;Julian;x;1, 5
101;hold intervierw;2021-11-03 09:33:57 +00:00;Trace 14;Julian;x;1
102;"reject application/
ask for permission to save data";2021-11-03 11:33:32 +00:00;Trace 14;Julian;x;1
103;await answer;2021-11-03 13:26:47 +00:00;Trace 14;Julian;x;1, 5
104;decline permission;2021-11-03 14:36:47 +00:00;Trace 14;Julian;x;1
105;delete data;2021-11-03 15:49:48 +00:00;Trace 14;Julian;x;1
106;receive application;2021-11-03 00:19:21 +00:00;Trace 15;Peter;x;1
107;declined GDPR;2021-11-03 01:55:39 +00:00;Trace 15;Peter;x;1, 5
108;notify recruiter;2021-11-03 03:35:40 +00:00;Trace 15;Peter;x;1
109;review application;2021-11-03 05:09:23 +00:00;Trace 15;Peter;x;1
110;delete data of applicant;2021-11-03 06:48:42 +00:00;Trace 15;Peter;x;1
111;receive application;2021-11-03 00:07:09 +00:00;Trace 16;Julian;x;1
112;declined GDPR;2021-11-03 01:26:07 +00:00;Trace 16;Julian;x;1, 5
113;notify recruiter;2021-11-03 03:12:32 +00:00;Trace 16;Julian;x;1
114;review application;2021-11-03 04:20:48 +00:00;Trace 16;Julian;x;1
115;schedule interview and send invitation;2021-11-03 06:18:21 +00:00;Trace 16;Julian;x;1
116;await answer;2021-11-03 08:06:59 +00:00;Trace 16;Julian;x;1, 5
117;"Applicant rejected/
delete data";2021-11-03 09:44:28 +00:00;Trace 16;Julian;x;1
118;receive application;2021-11-02 23:55:25 +00:00;Trace 17;Julian;x;1
119;declined GDPR;2021-11-03 01:40:49 +00:00;Trace 17;Julian;x;1, 5
120;notify recruiter;2021-11-03 02:50:12 +00:00;Trace 17;Julian;x;1
121;review application;2021-11-03 04:22:41 +00:00;Trace 17;Julian;x;1
122;schedule interview and send invitation;2021-11-03 05:59:14 +00:00;Trace 17;Julian;x;1
123;await answer;2021-11-03 07:48:35 +00:00;Trace 17;Julian;x;1, 5
124;"Applicant rejected/
delete data";2021-11-03 09:12:22 +00:00;Trace 17;Julian;x;1
125;receive application;2021-11-02 23:50:55 +00:00;Trace 18;Julian;x;1
126;declined GDPR;2021-11-03 01:40:51 +00:00;Trace 18;Julian;x;1, 5
127;notify recruiter;2021-11-03 03:26:24 +00:00;Trace 18;Julian;x;1
128;review application;2021-11-03 04:30:49 +00:00;Trace 18;Julian;x;1
129;schedule interview and send invitation;2021-11-03 05:48:10 +00:00;Trace 18;Julian;x;1
130;await answer;2021-11-03 06:48:32 +00:00;Trace 18;Julian;x;1, 5
131;hold intervierw;2021-11-03 08:04:23 +00:00;Trace 18;Julian;x;1
132;send to assessment center;2021-11-03 09:52:32 +00:00;Trace 18;Julian;x;1
133;decline applicant in assesment center;2021-11-03 11:46:40 +00:00;Trace 18;Julian;x;1
134;receive application;2021-11-03 00:02:13 +00:00;Trace 19;Hans;x;1
135;declined GDPR;2021-11-03 01:42:29 +00:00;Trace 19;Hans;x;1, 5
136;notify recruiter;2021-11-03 02:51:22 +00:00;Trace 19;Hans;x;1
137;review application;2021-11-03 04:49:34 +00:00;Trace 19;Hans;x;1
138;delete data of applicant;2021-11-03 06:21:29 +00:00;Trace 19;Hans;x;1
139;receive application;2021-11-03 00:37:30 +00:00;Trace 20;Hans;x;1
140;declined GDPR;2021-11-03 01:49:55 +00:00;Trace 20;Hans;x;1, 5
141;notify recruiter;2021-11-03 03:21:56 +00:00;Trace 20;Hans;x;1
142;review application;2021-11-03 04:24:49 +00:00;Trace 20;Hans;x;1
143;delete data of applicant;2021-11-03 05:50:57 +00:00;Trace 20;Hans;x;1
144;receive application;2021-11-02 23:51:45 +00:00;Trace 21;Julian;x;1
145;declined GDPR;2021-11-03 01:14:28 +00:00;Trace 21;Julian;x;1, 5
146;notify recruiter;2021-11-03 03:11:40 +00:00;Trace 21;Julian;x;1
147;review application;2021-11-03 05:01:58 +00:00;Trace 21;Julian;x;1
148;schedule interview and send invitation;2021-11-03 06:42:53 +00:00;Trace 21;Julian;x;1
149;await answer;2021-11-03 08:08:51 +00:00;Trace 21;Julian;x;1, 5
150;"Applicant rejected/
delete data";2021-11-03 09:53:27 +00:00;Trace 21;Julian;x;1
151;receive application;2021-11-03 00:18:27 +00:00;Trace 22;Peter;x;1
152;declined GDPR;2021-11-03 02:06:22 +00:00;Trace 22;Peter;x;1, 5
153;notify recruiter;2021-11-03 03:37:10 +00:00;Trace 22;Peter;x;1
154;review application;2021-11-03 05:27:01 +00:00;Trace 22;Peter;x;1
155;delete data of applicant;2021-11-03 06:54:56 +00:00;Trace 22;Peter;x;1
156;receive application;2021-11-02 23:40:04 +00:00;Trace 23;Julian;x;1
157;declined GDPR;2021-11-03 01:31:31 +00:00;Trace 23;Julian;x;1, 5
158;notify recruiter;2021-11-03 03:30:40 +00:00;Trace 23;Julian;x;1
159;review application;2021-11-03 04:38:57 +00:00;Trace 23;Julian;x;1
160;delete data of applicant;2021-11-03 05:44:21 +00:00;Trace 23;Julian;x;1
161;receive application;2021-11-02 23:47:02 +00:00;Trace 24;Hans;x;1
162;declined GDPR;2021-11-03 00:53:17 +00:00;Trace 24;Hans;x;1, 5
163;notify recruiter;2021-11-03 02:08:03 +00:00;Trace 24;Hans;x;1
164;review application;2021-11-03 03:17:38 +00:00;Trace 24;Hans;x;1
165;schedule interview and send invitation;2021-11-03 04:38:38 +00:00;Trace 24;Hans;x;1
166;await answer;2021-11-03 05:55:45 +00:00;Trace 24;Hans;x;1, 5
167;hold intervierw;2021-11-03 07:24:46 +00:00;Trace 24;Hans;x;1
168;send to assessment center;2021-11-03 08:27:32 +00:00;Trace 24;Hans;x;1
169;create and send offer;2021-11-03 10:12:46 +00:00;Trace 24;Hans;x;1
170;wait for answer to offer;2021-11-03 11:27:04 +00:00;Trace 24;Hans;x;1
171;receive application;2021-11-03 00:10:25 +00:00;Trace 25;Julian;x;1
172;declined GDPR;2021-11-03 01:59:41 +00:00;Trace 25;Julian;x;1, 5
173;notify recruiter;2021-11-03 03:15:37 +00:00;Trace 25;Julian;x;1
174;review application;2021-11-03 04:58:19 +00:00;Trace 25;Julian;x;1
175;delete data of applicant;2021-11-03 06:17:48 +00:00;Trace 25;Julian;x;1
176;receive application;2021-11-03 00:11:17 +00:00;Trace 26;Hans;x;1
177;declined GDPR;2021-11-03 01:18:15 +00:00;Trace 26;Hans;x;1, 5
178;notify recruiter;2021-11-03 03:03:34 +00:00;Trace 26;Hans;x;1
179;review application;2021-11-03 04:39:05 +00:00;Trace 26;Hans;x;1
180;delete data of applicant;2021-11-03 06:19:29 +00:00;Trace 26;Hans;x;1
181;receive application;2021-11-02 23:42:30 +00:00;Trace 27;Julian;x;1
182;declined GDPR;2021-11-03 01:20:52 +00:00;Trace 27;Julian;x;1, 5
183;notify recruiter;2021-11-03 02:39:21 +00:00;Trace 27;Julian;x;1
184;review application;2021-11-03 03:51:20 +00:00;Trace 27;Julian;x;1
185;delete data of applicant;2021-11-03 04:51:28 +00:00;Trace 27;Julian;x;1
186;receive application;2021-11-03 00:34:34 +00:00;Trace 28;Peter;x;1
187;declined GDPR;2021-11-03 01:52:02 +00:00;Trace 28;Peter;x;1, 5
188;notify recruiter;2021-11-03 03:21:34 +00:00;Trace 28;Peter;x;1
189;review application;2021-11-03 05:08:24 +00:00;Trace 28;Peter;x;1
190;schedule interview and send invitation;2021-11-03 06:41:43 +00:00;Trace 28;Peter;x;1
191;await answer;2021-11-03 08:19:32 +00:00;Trace 28;Peter;x;1, 5
192;hold intervierw;2021-11-03 09:33:41 +00:00;Trace 28;Peter;x;1
193;send to assessment center;2021-11-03 11:17:53 +00:00;Trace 28;Peter;x;1
194;decline applicant in assesment center;2021-11-03 12:27:15 +00:00;Trace 28;Peter;x;1
195;receive application;2021-11-02 23:41:39 +00:00;Trace 29;Peter;x;1
196;declined GDPR;2021-11-03 00:48:43 +00:00;Trace 29;Peter;x;1, 5
197;notify recruiter;2021-11-03 02:12:55 +00:00;Trace 29;Peter;x;1
198;review application;2021-11-03 03:47:46 +00:00;Trace 29;Peter;x;1
199;schedule interview and send invitation;2021-11-03 05:10:51 +00:00;Trace 29;Peter;x;1
200;await answer;2021-11-03 06:49:53 +00:00;Trace 29;Peter;x;1, 5
201;"Applicant rejected/
delete data";2021-11-03 08:35:23 +00:00;Trace 29;Peter;x;1
202;receive application;2021-11-03 00:19:38 +00:00;Trace 30;Peter;x;1
203;declined GDPR;2021-11-03 01:38:40 +00:00;Trace 30;Peter;x;1, 5
204;notify recruiter;2021-11-03 02:48:53 +00:00;Trace 30;Peter;x;1
205;review application;2021-11-03 04:42:08 +00:00;Trace 30;Peter;x;1
206;delete data of applicant;2021-11-03 06:16:42 +00:00;Trace 30;Peter;x;1
207;receive application;2021-11-03 00:12:08 +00:00;Trace 31;Julian;x;1
208;declined GDPR;2021-11-03 02:09:39 +00:00;Trace 31;Julian;x;1, 5
209;notify recruiter;2021-11-03 03:42:14 +00:00;Trace 31;Julian;x;1
210;review application;2021-11-03 05:21:34 +00:00;Trace 31;Julian;x;1
211;delete data of applicant;2021-11-03 06:25:17 +00:00;Trace 31;Julian;x;1
212;receive application;2021-11-02 23:40:29 +00:00;Trace 32;Hans;x;1
213;declined GDPR;2021-11-03 00:58:02 +00:00;Trace 32;Hans;x;1, 5
214;notify recruiter;2021-11-03 02:27:54 +00:00;Trace 32;Hans;x;1
215;review application;2021-11-03 03:44:40 +00:00;Trace 32;Hans;x;1
216;delete data of applicant;2021-11-03 05:13:52 +00:00;Trace 32;Hans;x;1
217;receive application;2021-11-03 00:20:41 +00:00;Trace 33;Hans;x;1
218;declined GDPR;2021-11-03 01:40:56 +00:00;Trace 33;Hans;x;1, 5
219;notify recruiter;2021-11-03 02:58:56 +00:00;Trace 33;Hans;x;1
220;review application;2021-11-03 04:48:05 +00:00;Trace 33;Hans;x;1
221;schedule interview and send invitation;2021-11-03 06:25:33 +00:00;Trace 33;Hans;x;1
222;await answer;2021-11-03 07:55:43 +00:00;Trace 33;Hans;x;1, 5
223;hold intervierw;2021-11-03 09:50:09 +00:00;Trace 33;Hans;x;1
224;send to assessment center;2021-11-03 11:00:43 +00:00;Trace 33;Hans;x;1
225;decline applicant in assesment center;2021-11-03 12:27:36 +00:00;Trace 33;Hans;x;1
226;receive application;2021-11-03 00:22:05 +00:00;Trace 34;Julian;x;1
227;declined GDPR;2021-11-03 01:26:49 +00:00;Trace 34;Julian;x;1, 5
228;notify recruiter;2021-11-03 03:16:37 +00:00;Trace 34;Julian;x;1
229;review application;2021-11-03 05:11:29 +00:00;Trace 34;Julian;x;1
230;schedule interview and send invitation;2021-11-03 06:59:30 +00:00;Trace 34;Julian;x;1
231;await answer;2021-11-03 08:42:20 +00:00;Trace 34;Julian;x;1, 5
232;"Applicant rejected/
delete data";2021-11-03 10:23:26 +00:00;Trace 34;Julian;x;1
233;receive application;2021-11-02 23:58:01 +00:00;Trace 35;Hans;x;1
234;declined GDPR;2021-11-03 01:07:34 +00:00;Trace 35;Hans;x;1, 5
235;notify recruiter;2021-11-03 02:57:21 +00:00;Trace 35;Hans;x;1
236;review application;2021-11-03 04:43:13 +00:00;Trace 35;Hans;x;1
237;delete data of applicant;2021-11-03 06:31:15 +00:00;Trace 35;Hans;x;1
238;receive application;2021-11-03 00:27:24 +00:00;Trace 36;Peter;x;1
239;declined GDPR;2021-11-03 02:19:26 +00:00;Trace 36;Peter;x;1, 5
240;notify recruiter;2021-11-03 04:16:54 +00:00;Trace 36;Peter;x;1
241;review application;2021-11-03 06:02:24 +00:00;Trace 36;Peter;x;1
242;schedule interview and send invitation;2021-11-03 07:22:03 +00:00;Trace 36;Peter;x;1
243;await answer;2021-11-03 08:59:16 +00:00;Trace 36;Peter;x;1, 5
244;"Applicant rejected/
delete data";2021-11-03 10:55:03 +00:00;Trace 36;Peter;x;1
245;receive application;2021-11-02 23:41:18 +00:00;Trace 37;Julian;x;1
246;declined GDPR;2021-11-03 00:43:15 +00:00;Trace 37;Julian;x;1, 5
247;notify recruiter;2021-11-03 02:03:30 +00:00;Trace 37;Julian;x;1
248;review application;2021-11-03 03:19:02 +00:00;Trace 37;Julian;x;1
249;schedule interview and send invitation;2021-11-03 04:49:45 +00:00;Trace 37;Julian;x;1
250;await answer;2021-11-03 06:10:38 +00:00;Trace 37;Julian;x;1, 5
251;"Applicant rejected/
delete data";2021-11-03 07:39:37 +00:00;Trace 37;Julian;x;1
252;receive application;2021-11-02 23:47:09 +00:00;Trace 38;Hans;x;1
253;declined GDPR;2021-11-03 01:00:02 +00:00;Trace 38;Hans;x;1, 5
254;notify recruiter;2021-11-03 02:37:27 +00:00;Trace 38;Hans;x;1
255;review application;2021-11-03 03:54:28 +00:00;Trace 38;Hans;x;1
256;delete data of applicant;2021-11-03 05:09:33 +00:00;Trace 38;Hans;x;1
257;receive application;2021-11-03 00:33:24 +00:00;Trace 39;Julian;x;1
258;declined GDPR;2021-11-03 02:17:16 +00:00;Trace 39;Julian;x;1, 5
259;notify recruiter;2021-11-03 04:00:27 +00:00;Trace 39;Julian;x;1
260;review application;2021-11-03 05:04:15 +00:00;Trace 39;Julian;x;1
261;schedule interview and send invitation;2021-11-03 06:13:55 +00:00;Trace 39;Julian;x;1
262;await answer;2021-11-03 07:42:43 +00:00;Trace 39;Julian;x;1, 5
263;"Applicant rejected/
delete data";2021-11-03 08:59:49 +00:00;Trace 39;Julian;x;1
264;receive application;2021-11-03 00:15:08 +00:00;Trace 40;Hans;x;1
265;declined GDPR;2021-11-03 01:26:29 +00:00;Trace 40;Hans;x;1, 5
266;notify recruiter;2021-11-03 02:43:33 +00:00;Trace 40;Hans;x;1
267;review application;2021-11-03 04:32:44 +00:00;Trace 40;Hans;x;1
268;delete data of applicant;2021-11-03 05:37:11 +00:00;Trace 40;Hans;x;1
269;receive application;2021-11-02 23:48:17 +00:00;Trace 41;Julian;x;1
270;declined GDPR;2021-11-03 01:26:06 +00:00;Trace 41;Julian;x;1, 5
271;notify recruiter;2021-11-03 03:05:52 +00:00;Trace 41;Julian;x;1
272;review application;2021-11-03 04:35:36 +00:00;Trace 41;Julian;x;1
273;delete data of applicant;2021-11-03 05:40:17 +00:00;Trace 41;Julian;x;1
274;receive application;2021-11-02 23:44:38 +00:00;Trace 42;Julian;x;1
275;declined GDPR;2021-11-03 01:43:12 +00:00;Trace 42;Julian;x;1, 5
276;notify recruiter;2021-11-03 03:28:46 +00:00;Trace 42;Julian;x;1
277;review application;2021-11-03 04:57:55 +00:00;Trace 42;Julian;x;1
278;schedule interview and send invitation;2021-11-03 06:24:19 +00:00;Trace 42;Julian;x;1
279;await answer;2021-11-03 08:08:12 +00:00;Trace 42;Julian;x;1, 5
280;"Applicant rejected/
delete data";2021-11-03 09:13:17 +00:00;Trace 42;Julian;x;1
281;receive application;2021-11-03 00:33:58 +00:00;Trace 43;Hans;x;1
282;declined GDPR;2021-11-03 02:13:54 +00:00;Trace 43;Hans;x;1, 5
283;notify recruiter;2021-11-03 03:37:43 +00:00;Trace 43;Hans;x;1
284;review application;2021-11-03 05:28:19 +00:00;Trace 43;Hans;x;1
285;delete data of applicant;2021-11-03 06:29:19 +00:00;Trace 43;Hans;x;1
286;receive application;2021-11-03 00:06:40 +00:00;Trace 44;Peter;x;1
287;declined GDPR;2021-11-03 01:56:51 +00:00;Trace 44;Peter;x;1, 5
288;notify recruiter;2021-11-03 03:24:51 +00:00;Trace 44;Peter;x;1
289;review application;2021-11-03 04:59:17 +00:00;Trace 44;Peter;x;1
290;schedule interview and send invitation;2021-11-03 06:59:02 +00:00;Trace 44;Peter;x;1
291;await answer;2021-11-03 08:35:49 +00:00;Trace 44;Peter;x;1, 5
292;"Applicant rejected/
delete data";2021-11-03 10:06:46 +00:00;Trace 44;Peter;x;1
293;receive application;2021-11-02 23:52:09 +00:00;Trace 45;Hans;x;1
294;declined GDPR;2021-11-03 01:34:25 +00:00;Trace 45;Hans;x;1, 5
295;notify recruiter;2021-11-03 03:03:06 +00:00;Trace 45;Hans;x;1
296;review application;2021-11-03 04:47:38 +00:00;Trace 45;Hans;x;1
297;delete data of applicant;2021-11-03 06:33:08 +00:00;Trace 45;Hans;x;1
298;receive application;2021-11-02 23:57:36 +00:00;Trace 46;Peter;x;1
299;declined GDPR;2021-11-03 01:05:18 +00:00;Trace 46;Peter;x;1, 5
300;notify recruiter;2021-11-03 02:08:15 +00:00;Trace 46;Peter;x;1
301;review application;2021-11-03 03:53:47 +00:00;Trace 46;Peter;x;1
302;schedule interview and send invitation;2021-11-03 05:49:44 +00:00;Trace 46;Peter;x;1
303;await answer;2021-11-03 07:44:23 +00:00;Trace 46;Peter;x;1, 5
304;hold intervierw;2021-11-03 09:01:01 +00:00;Trace 46;Peter;x;1
305;send to assessment center;2021-11-03 10:45:56 +00:00;Trace 46;Peter;x;1
306;create and send offer;2021-11-03 12:34:03 +00:00;Trace 46;Peter;x;1
307;wait for answer to offer;2021-11-03 13:41:41 +00:00;Trace 46;Peter;x;1
308;receive application;2021-11-03 00:10:28 +00:00;Trace 47;Julian;x;1
309;declined GDPR;2021-11-03 01:30:41 +00:00;Trace 47;Julian;x;1, 5
310;notify recruiter;2021-11-03 02:49:14 +00:00;Trace 47;Julian;x;1
311;review application;2021-11-03 04:14:01 +00:00;Trace 47;Julian;x;1
312;delete data of applicant;2021-11-03 05:28:54 +00:00;Trace 47;Julian;x;1
313;receive application;2021-11-03 00:02:07 +00:00;Trace 48;Peter;x;1
314;declined GDPR;2021-11-03 01:33:26 +00:00;Trace 48;Peter;x;1, 5
315;notify recruiter;2021-11-03 03:20:33 +00:00;Trace 48;Peter;x;1
316;review application;2021-11-03 04:28:50 +00:00;Trace 48;Peter;x;1
317;schedule interview and send invitation;2021-11-03 05:32:00 +00:00;Trace 48;Peter;x;1
318;await answer;2021-11-03 07:29:30 +00:00;Trace 48;Peter;x;1, 5
319;"Applicant rejected/
delete data";2021-11-03 08:41:15 +00:00;Trace 48;Peter;x;1
320;receive application;2021-11-03 00:09:13 +00:00;Trace 49;Peter;x;1
321;declined GDPR;2021-11-03 01:13:53 +00:00;Trace 49;Peter;x;1, 5
322;notify recruiter;2021-11-03 03:01:39 +00:00;Trace 49;Peter;x;1
323;review application;2021-11-03 04:12:24 +00:00;Trace 49;Peter;x;1
324;delete data of applicant;2021-11-03 05:54:49 +00:00;Trace 49;Peter;x;1
325;receive application;2021-11-03 00:00:39 +00:00;Trace 50;Peter;x;1
326;declined GDPR;2021-11-03 01:16:26 +00:00;Trace 50;Peter;x;1, 5
327;notify recruiter;2021-11-03 02:34:55 +00:00;Trace 50;Peter;x;1
328;review application;2021-11-03 04:15:12 +00:00;Trace 50;Peter;x;1
329;delete data of applicant;2021-11-03 05:53:52 +00:00;Trace 50;Peter;x;1
330;receive application;2021-11-03 00:16:15 +00:00;Trace 51;Julian;x;1
331;declined GDPR;2021-11-03 01:58:43 +00:00;Trace 51;Julian;x;1, 5
332;notify recruiter;2021-11-03 03:08:04 +00:00;Trace 51;Julian;x;1
333;review application;2021-11-03 04:29:55 +00:00;Trace 51;Julian;x;1
334;schedule interview and send invitation;2021-11-03 05:43:37 +00:00;Trace 51;Julian;x;1
335;await answer;2021-11-03 07:05:08 +00:00;Trace 51;Julian;x;1, 5
336;"Applicant rejected/
delete data";2021-11-03 08:24:05 +00:00;Trace 51;Julian;x;1
337;receive application;2021-11-03 00:38:21 +00:00;Trace 52;Julian;x;1
