ID;concept:name;time:timestamp;case:concept:name;pName;error_case;error_reason
50;hold intervierw;1970-01-01 07:00:00+00:00;Trace 3980;Kevin;x;2
51;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 3980;Kevin;x;2
52;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 3980;Kevin;x;2
53;decline permission;1970-01-01 10:00:00+00:00;Trace 3980;Kevin;x;2
54;delete data;1970-01-01 11:00:00+00:00;Trace 3980;Kevin;x;2
55;receive application;1970-01-01 00:00:00+00:00;Trace 375;Kevin;x;2
56;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 375;Kevin;x;2
57;decline GDPR;1970-01-01 02:00:00+00:00;Trace 375;Kevin;x;2
58;receive application;1970-01-01 00:00:00+00:00;Trace 1564;Hans;;
59;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1564;Hans;;
60;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1564;Hans;;
61;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1564;Hans;;
62;review application;1970-01-01 04:00:00+00:00;Trace 1564;Hans;;
63;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1564;Hans;;
64;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1564;Hans;;
65;hold intervierw;1970-01-01 07:00:00+00:00;Trace 1564;Hans;;
66;send to assessment center;1970-01-01 08:00:00+00:00;Trace 1564;Hans;;
67;create and send offer;1970-01-01 09:00:00+00:00;Trace 1564;Hans;;
68;wait for answer to offer;1970-01-01 10:00:00+00:00;Trace 1564;Hans;;
69;receive application;1970-01-01 00:00:00+00:00;Trace 1482;Peter;;
70;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1482;Peter;;
71;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1482;Peter;;
72;receive application;1970-01-01 00:00:00+00:00;Trace 3394;Hans;;
73;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3394;Hans;;
74;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3394;Hans;;
75;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3394;Hans;;
76;review application;1970-01-01 04:00:00+00:00;Trace 3394;Hans;;
77;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3394;Hans;;
78;receive application;1970-01-01 00:00:00+00:00;Trace 1325;Peter;;
79;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1325;Peter;;
80;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1325;Peter;;
81;receive application;1970-01-01 00:00:00+00:00;Trace 1055;Hans;;
82;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1055;Hans;;
83;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1055;Hans;;
84;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1055;Hans;;
85;review application;1970-01-01 04:00:00+00:00;Trace 1055;Hans;;
86;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1055;Hans;;
87;receive application;1970-01-01 00:00:00+00:00;Trace 2399;Peter;;
88;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2399;Peter;;
89;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2399;Peter;;
90;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2399;Peter;;
91;review application;1970-01-01 04:00:00+00:00;Trace 2399;Peter;;
92;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2399;Peter;;
93;receive application;1970-01-01 00:00:00+00:00;Trace 2727;Hans;;
94;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2727;Hans;;
95;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2727;Hans;;
96;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2727;Hans;;
97;review application;1970-01-01 04:00:00+00:00;Trace 2727;Hans;;
98;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 2727;Hans;;
99;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 2727;Hans;;
100;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 2727;Hans;;
101;receive application;1970-01-01 00:00:00+00:00;Trace 1438;Hans;;
102;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1438;Hans;;
103;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1438;Hans;;
104;receive application;1970-01-01 00:00:00+00:00;Trace 350;Hans;x;1
105;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 350;Hans;x;1
106;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 350;Hans;x;1
107;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 350;Hans;x;1
108;notify recruiter;1970-01-01 03:00:00+00:00;Trace 350;Hans;x;1
109;review application;1970-01-01 04:00:00+00:00;Trace 350;Hans;x;1
110;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 350;Hans;x;1
111;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 350;Hans;x;1
112;hold intervierw;1970-01-01 07:00:00+00:00;Trace 350;Hans;x;1
113;send to assessment center;1970-01-01 08:00:00+00:00;Trace 350;Hans;x;1
114;decline applicant in assesment center;1970-01-01 09:00:00+00:00;Trace 350;Hans;x;1
115;receive application;1970-01-01 00:00:00+00:00;Trace 3560;Julian;;
116;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3560;Julian;;
117;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3560;Julian;;
118;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3560;Julian;;
119;review application;1970-01-01 04:00:00+00:00;Trace 3560;Julian;;
120;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3560;Julian;;
121;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3560;Julian;;
122;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 3560;Julian;;
123;receive application;1970-01-01 00:00:00+00:00;Trace 443;Kevin;x;2
124;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 443;Kevin;x;2
125;decline GDPR;1970-01-01 02:00:00+00:00;Trace 443;Kevin;x;2
126;receive application;1970-01-01 00:00:00+00:00;Trace 722;Hans;;
127;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 722;Hans;;
128;decline GDPR;1970-01-01 02:00:00+00:00;Trace 722;Hans;;
129;receive application;1970-01-01 00:00:00+00:00;Trace 2763;Kevin;x;2
130;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2763;Kevin;x;2
131;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2763;Kevin;x;2
132;receive application;1970-01-01 00:00:00+00:00;Trace 546;Hans;;
133;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 546;Hans;;
134;decline GDPR;1970-01-01 02:00:00+00:00;Trace 546;Hans;;
135;receive application;1970-01-01 00:00:00+00:00;Trace 1786;Peter;;
136;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1786;Peter;;
137;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1786;Peter;;
138;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1786;Peter;;
139;review application;1970-01-01 04:00:00+00:00;Trace 1786;Peter;;
140;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1786;Peter;;
141;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1786;Peter;;
142;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 1786;Peter;;
143;receive application;1970-01-01 00:00:00+00:00;Trace 938;Peter;;
144;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 938;Peter;;
145;decline GDPR;1970-01-01 02:00:00+00:00;Trace 938;Peter;;
146;receive application;1970-01-01 00:00:00+00:00;Trace 1241;Kevin;x;2
147;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1241;Kevin;x;2
148;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1241;Kevin;x;2
149;receive application;1970-01-01 00:00:00+00:00;Trace 1471;Peter;;
150;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1471;Peter;;
151;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1471;Peter;;
152;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1471;Peter;;
153;review application;1970-01-01 04:00:00+00:00;Trace 1471;Peter;;
154;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1471;Peter;;
155;receive application;1970-01-01 00:00:00+00:00;Trace 646;Hans;;
156;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 646;Hans;;
157;decline GDPR;1970-01-01 02:00:00+00:00;Trace 646;Hans;;
158;receive application;1970-01-01 00:00:00+00:00;Trace 1886;Peter;;
159;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1886;Peter;;
160;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1886;Peter;;
161;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1886;Peter;;
162;review application;1970-01-01 04:00:00+00:00;Trace 1886;Peter;;
163;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1886;Peter;;
164;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1886;Peter;;
165;hold intervierw;1970-01-01 07:00:00+00:00;Trace 1886;Peter;;
166;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 1886;Peter;;
167;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 1886;Peter;;
168;receive permission;1970-01-01 10:00:00+00:00;Trace 1886;Peter;;
169;save data;1970-01-01 11:00:00+00:00;Trace 1886;Peter;;
170;receive application;1970-01-01 00:00:00+00:00;Trace 1860;Peter;;
171;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1860;Peter;;
172;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1860;Peter;;
173;receive application;1970-01-01 00:00:00+00:00;Trace 3041;Julian;;
174;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3041;Julian;;
175;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3041;Julian;;
176;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3041;Julian;;
177;review application;1970-01-01 04:00:00+00:00;Trace 3041;Julian;;
178;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3041;Julian;;
179;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3041;Julian;;
180;hold intervierw;1970-01-01 07:00:00+00:00;Trace 3041;Julian;;
181;send to assessment center;1970-01-01 08:00:00+00:00;Trace 3041;Julian;;
182;create and send offer;1970-01-01 09:00:00+00:00;Trace 3041;Julian;;
183;wait for answer to offer;1970-01-01 10:00:00+00:00;Trace 3041;Julian;;
184;hire candidate;1970-01-01 11:00:00+00:00;Trace 3041;Julian;;
185;begin onboarding process;1970-01-01 12:00:00+00:00;Trace 3041;Julian;;
186;receive application;1970-01-01 00:00:00+00:00;Trace 3527;Kevin;x;2
187;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3527;Kevin;x;2
188;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3527;Kevin;x;2
189;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3527;Kevin;x;2
190;review application;1970-01-01 04:00:00+00:00;Trace 3527;Kevin;x;2
191;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3527;Kevin;x;2
192;receive application;1970-01-01 00:00:00+00:00;Trace 11;Peter;;
193;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 11;Peter;;
194;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 11;Peter;;
195;notify recruiter;1970-01-01 03:00:00+00:00;Trace 11;Peter;;
196;review application;1970-01-01 04:00:00+00:00;Trace 11;Peter;;
197;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 11;Peter;;
198;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 11;Peter;;
199;hold intervierw;1970-01-01 07:00:00+00:00;Trace 11;Peter;;
200;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 11;Peter;;
201;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 11;Peter;;
202;decline permission;1970-01-01 10:00:00+00:00;Trace 11;Peter;;
203;delete data;1970-01-01 11:00:00+00:00;Trace 11;Peter;;
204;receive application;1970-01-01 00:00:00+00:00;Trace 1062;Julian;;
205;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1062;Julian;;
206;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1062;Julian;;
207;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1062;Julian;;
208;review application;1970-01-01 04:00:00+00:00;Trace 1062;Julian;;
209;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 1062;Julian;;
210;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 1062;Julian;;
211;hold intervierw;1970-01-01 07:00:00+00:00;Trace 1062;Julian;;
212;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 1062;Julian;;
213;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 1062;Julian;;
214;receive permission;1970-01-01 10:00:00+00:00;Trace 1062;Julian;;
215;save data;1970-01-01 11:00:00+00:00;Trace 1062;Julian;;
216;receive application;1970-01-01 00:00:00+00:00;Trace 2920;Hans;;
217;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2920;Hans;;
218;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2920;Hans;;
219;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2920;Hans;;
220;review application;1970-01-01 04:00:00+00:00;Trace 2920;Hans;;
221;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2920;Hans;;
222;receive application;1970-01-01 00:00:00+00:00;Trace 2268;Peter;;
223;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2268;Peter;;
224;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2268;Peter;;
225;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2268;Peter;;
226;review application;1970-01-01 04:00:00+00:00;Trace 2268;Peter;;
227;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2268;Peter;;
228;receive application;1970-01-01 00:00:00+00:00;Trace 3362;Peter;;
229;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3362;Peter;;
230;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3362;Peter;;
231;receive application;1970-01-01 00:00:00+00:00;Trace 1704;Hans;;
232;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1704;Hans;;
233;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1704;Hans;;
234;receive application;1970-01-01 00:00:00+00:00;Trace 915;Peter;;
235;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 915;Peter;;
236;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 915;Peter;;
237;notify recruiter;1970-01-01 03:00:00+00:00;Trace 915;Peter;;
238;review application;1970-01-01 04:00:00+00:00;Trace 915;Peter;;
239;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 915;Peter;;
240;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 915;Peter;;
241;hold intervierw;1970-01-01 07:00:00+00:00;Trace 915;Peter;;
242;send to assessment center;1970-01-01 08:00:00+00:00;Trace 915;Peter;;
243;create and send offer;1970-01-01 09:00:00+00:00;Trace 915;Peter;;
244;wait for answer to offer;1970-01-01 10:00:00+00:00;Trace 915;Peter;;
245;hire candidate;1970-01-01 11:00:00+00:00;Trace 915;Peter;;
246;begin onboarding process;1970-01-01 12:00:00+00:00;Trace 915;Peter;;
247;receive application;1970-01-01 00:00:00+00:00;Trace 2543;Julian;;
248;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2543;Julian;;
249;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2543;Julian;;
250;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2543;Julian;;
251;review application;1970-01-01 04:00:00+00:00;Trace 2543;Julian;;
252;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2543;Julian;;
253;receive application;1970-01-01 00:00:00+00:00;Trace 3461;Hans;;
254;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3461;Hans;;
255;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3461;Hans;;
256;receive application;1970-01-01 00:00:00+00:00;Trace 3898;Kevin;x;2
257;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3898;Kevin;x;2
258;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3898;Kevin;x;2
259;receive application;1970-01-01 00:00:00+00:00;Trace 1692;Kevin;x;2
260;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1692;Kevin;x;2
261;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1692;Kevin;x;2
262;receive application;1970-01-01 00:00:00+00:00;Trace 3861;Peter;;
263;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3861;Peter;;
264;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3861;Peter;;
265;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3861;Peter;;
266;review application;1970-01-01 04:00:00+00:00;Trace 3861;Peter;;
267;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3861;Peter;;
268;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3861;Peter;;
269;hold intervierw;1970-01-01 07:00:00+00:00;Trace 3861;Peter;;
270;"reject application/
ask for permission to save data";1970-01-01 08:00:00+00:00;Trace 3861;Peter;;
271;await answer of applicant;1970-01-01 09:00:00+00:00;Trace 3861;Peter;;
272;decline permission;1970-01-01 10:00:00+00:00;Trace 3861;Peter;;
273;delete data;1970-01-01 11:00:00+00:00;Trace 3861;Peter;;
274;receive application;1970-01-01 00:00:00+00:00;Trace 133;Julian;;
275;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 133;Julian;;
276;decline GDPR;1970-01-01 02:00:00+00:00;Trace 133;Julian;;
277;receive application;1970-01-01 00:00:00+00:00;Trace 3663;Kevin;x;2
278;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3663;Kevin;x;2
279;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3663;Kevin;x;2
280;receive application;1970-01-01 00:00:00+00:00;Trace 3775;Peter;x;1
281;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3775;Peter;x;1
282;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3775;Peter;x;1
283;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3775;Peter;x;1
284;review application;1970-01-01 04:00:00+00:00;Trace 3775;Peter;x;1
285;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 3775;Peter;x;1
286;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 3775;Peter;x;1
287;150323i3qhvq2;1970-01-01 07:00:00+00:00;Trace 3775;Peter;x;1, 5
288;receive application;1970-01-01 00:00:00+00:00;Trace 1561;Hans;;
289;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1561;Hans;;
290;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1561;Hans;;
291;receive application;1970-01-01 00:00:00+00:00;Trace 1463;Julian;;
292;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1463;Julian;;
293;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1463;Julian;;
294;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1463;Julian;;
295;review application;1970-01-01 04:00:00+00:00;Trace 1463;Julian;;
296;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1463;Julian;;
297;receive application;1970-01-01 00:00:00+00:00;Trace 1480;Kevin;x;2
298;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1480;Kevin;x;2
299;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1480;Kevin;x;2
300;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1480;Kevin;x;2
301;review application;1970-01-01 04:00:00+00:00;Trace 1480;Kevin;x;2
302;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1480;Kevin;x;2
303;receive application;1970-01-01 00:00:00+00:00;Trace 572;Peter;;
304;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 572;Peter;;
305;decline GDPR;1970-01-01 02:00:00+00:00;Trace 572;Peter;;
306;receive application;1970-01-01 00:00:00+00:00;Trace 1265;Kevin;x;2
307;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1265;Kevin;x;2
308;decline GDPR;1970-01-01 02:00:00+00:00;Trace 1265;Kevin;x;2
309;receive application;1970-01-01 00:00:00+00:00;Trace 2585;Julian;;
310;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2585;Julian;;
311;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2585;Julian;;
312;receive application;1970-01-01 00:00:00+00:00;Trace 3009;Peter;;
313;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3009;Peter;;
314;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3009;Peter;;
315;receive application;1970-01-01 00:00:00+00:00;Trace 1721;Hans;;
316;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 1721;Hans;;
317;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 1721;Hans;;
318;notify recruiter;1970-01-01 03:00:00+00:00;Trace 1721;Hans;;
319;review application;1970-01-01 04:00:00+00:00;Trace 1721;Hans;;
320;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 1721;Hans;;
321;receive application;1970-01-01 00:00:00+00:00;Trace 2420;Kevin;x;2
322;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2420;Kevin;x;2
323;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2420;Kevin;x;2
324;receive application;1970-01-01 00:00:00+00:00;Trace 3689;Julian;;
325;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3689;Julian;;
326;decline GDPR;1970-01-01 02:00:00+00:00;Trace 3689;Julian;;
327;receive application;1970-01-01 00:00:00+00:00;Trace 3935;Kevin;x;2
328;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 3935;Kevin;x;2
329;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 3935;Kevin;x;2
330;notify recruiter;1970-01-01 03:00:00+00:00;Trace 3935;Kevin;x;2
331;review application;1970-01-01 04:00:00+00:00;Trace 3935;Kevin;x;2
332;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 3935;Kevin;x;2
333;receive application;1970-01-01 00:00:00+00:00;Trace 2988;Kevin;x;2
334;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2988;Kevin;x;2
335;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 2988;Kevin;x;2
336;notify recruiter;1970-01-01 03:00:00+00:00;Trace 2988;Kevin;x;2
337;review application;1970-01-01 04:00:00+00:00;Trace 2988;Kevin;x;2
338;delete data of applicant;1970-01-01 05:00:00+00:00;Trace 2988;Kevin;x;2
339;receive application;1970-01-01 00:00:00+00:00;Trace 144;Julian;;
340;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 144;Julian;;
341;decline GDPR;1970-01-01 02:00:00+00:00;Trace 144;Julian;;
342;receive application;1970-01-01 00:00:00+00:00;Trace 503;Julian;;
343;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 503;Julian;;
344;confirmed GDPR;1970-01-01 02:00:00+00:00;Trace 503;Julian;;
345;notify recruiter;1970-01-01 03:00:00+00:00;Trace 503;Julian;;
346;review application;1970-01-01 04:00:00+00:00;Trace 503;Julian;;
347;schedule interview and send invitation;1970-01-01 05:00:00+00:00;Trace 503;Julian;;
348;"await answer
for interview";1970-01-01 06:00:00+00:00;Trace 503;Julian;;
349;"applicant rejected/
delete data";1970-01-01 07:00:00+00:00;Trace 503;Julian;;
350;receive application;1970-01-01 00:00:00+00:00;Trace 2019;Julian;;
351;confirm GDPR;1970-01-01 01:00:00+00:00;Trace 2019;Julian;;
352;decline GDPR;1970-01-01 02:00:00+00:00;Trace 2019;Julian;;
